Text,CUIS
,
lipid,C0023779
characteristic,C1521970
gissi prevention $nmbr$ $nmbr$ $nmbr$ $nmbr$,C0199176;C1706420;C2700409
placebo n $nmbr$,C0032042;C1696465;C1706408
p $nmbr$ vs no treatment $nmbr$,C0369773;C2603361;C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
gemfibrozil n $nmbr$,C0017245
lips,C0023759
age yr,C0001779;C0439234
f $nmbr$ vs placebo,C0016327;C0032042;C1696465;C1706408
$nmbr$ $nmbr$,
hps,C0242994
age $nmbr$ yr,C0001779;C0439234
$nmbr$,
s $nmbr$ vs placebo,C0032042;C1696465;C1706408
race white,C0007457;C0043157;C0220938
prosper,
black,C0005680;C0027567;C0085756;C0439541
allhat llt,C2347090
other,
p $nmbr$ vs usual care,C0369773;C2603361;C3538928;C1947933
education $nmbr$ yr,C0013621;C0439234;C0013622;C0013658;C0039401
^ $nmbr$,
current smoker,C3173209;C3241966
ascot lla,C0718674
alcohol consumption $nmbr$ drink dav,C0556297
a $nmbr$ vs placebo,C0032042;C1696465;C1706408
alert,C0239110;C2004580;C3665546;C3669039;C4084853;C4553014
$nmbr$ $nmbr$ drinks dav,C0452428
cards,C2930619;C3275277
$nmbr$ drinks dav,C0452428
hypertension,C0020538;C1963138
diabetes,C0011847;C0011849
prior myocardial infarction,C0027051;C0428953;C2926063;C3810814;C4552959
$nmbr$ s scandinavian simvastatin survival study $nmbr$ woscops west of scotland coronary prevention study $nmbr$ care cholesterol and recurrent events $nmbr$ post cabg post coronary artery bypass graft $nmbr$ afcaps texcaps air force texas coronary atherosclerosis prevention study $nmbr$ lipid long term intervention with pravastatin in ischaemic disease $nmbr$ gissi prevention gruppo italiano per lo studio della sopravvivenza nell infarto miocardico $nmbr$ lips lescol intervention prevention study $nmbr$ hps heart protection study $nmbr$ prosper prospective study of pravastatin in the elderly at risk $nmbr$ allhat llt antihypertensive and lipid lowering treatment to prevent heart attack trial $nmbr$ ascot lla anglo scandinavian cardiac outcomes trial lipid lowering arm $nmbr$ alert assessment of lescol in renal transplantation $nmbr$ cards collaborative atorvastatin diabetes study $nmbr$ s simvastatin l lovastatin p pravastatin f uvastatin a atorvastatin mean duration of follow up based on survival times within each trial overall mean is weighted by trial speci c variances of logrank o e for major vascular events all trials included dietary intervention woscops gissi prevention lipid $nmbr$ s lips and hps provided dietary advice afcaps texcaps post cabg care allhat alert cards and prosper used american heart association aha step $nmbr$ diet and care intensi ed to step $nmbr$ diet if ldl cholesterol $nmbr$ $nmbr$ mmol l $nmbr$ mg dl other chd includes patients with a history of other symptomatic chd but excludes those with a history of mi as already counted in mi column other vascular includes history of intracerebral bleed transient ischaemic attack ischaemic stroke unknown stroke and peripheral artery disease none includes individuals without a history of mi symptomatic chd intracerebral bleed transient ischaemic attack ischaemic stroke unknown stroke or peripheral artery disease,C1705493;C1706420;C2347647;C0085542;C0679698;C1096775;C0033522;C1709709;C0001792;C0003364;C1999167;C0023779;C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704;C0309872;C0027051;C0441994;C2003888;C1261322;C1516048;C0846101;C0024027;C0016327;C0449238;C2926735;C1527178;C1705938;C0444504;C2347634;C2348143;C0005910;C0043100;C1305866;C0441471;C3541888;C0012171;C0023759;C0242994;C2930619;C3275277;C0012155;C0012159;C1519433;C2983588;C3668949;C3538926;C1532980;C0280604;C3542407;C0332257;C1552866;C2700399;C0679831;C0231220;C0332196;C2828389;C0019664;C0019665;C0262512;C0262926;C1705255;C2004062;C0750480;C1705566;C0005847;C1558950;C1801960;C0455536;C2937358;C1704436;C4025272;C0027361;C0237401
time since most recent myocardial,C0040223;C3541383
groups,C0441833;C0687744;C1257890;C1519504;C1552839;C1705428;C1705429
infarction yr history of congestive heart failure,C0455531
events treatment $nmbr$,C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
cabg or ptca,C0010055;C2936173
control $nmbr$,C0243148;C1550141;C1882979;C2587213;C3274648;C4553389
medication use aspirin,C0240320;C0004057
rr cl,C4554402;C0596019
nitratesf,
heterogeneity trend test,C0022885;C0039593;C0392366;C0456984;C1515976;C3831328;C4318744
calcium channel blockers,C0006684;C2757014
previous disease,C0205156;C0012634;C1552607
ace inhibitors,C0003015
post mi,C0856742
beta blockers,C0001645
other chd,C0280604;C3542407
any antianginal drug,C0013227;C1254351
xho p o $nmbr$,C4050013
body mass index,C0005893;C0578022;C1305855
$nmbr$ $nmbr$ o $nmbr$ o $nmbr$ o,C0483204
waist to hip ratio,C0205682
s $nmbr$,
$nmbr$ $nmbr$ $nmbr$ $nmbr$,
x $nmbr$ $nmbr$ $nmbr$ p $nmbr$ $nmbr$,
blood pressure mm hg systolic,C0005823;C0039155;C1271104;C1272641
xi $nmbr$ $nmbr$ p $nmbr$,C1720296
diastolic,C0012000
treated hypertension,C0020538;C1963138
plasma lipids mg dl $nmbr$ total cholesterol mean,C0444504;C2347634;C2348143
x l $nmbr$ p $nmbr$ $nmbr$,
interquartile range,C1711350
x $nmbr$ l p $nmbr$ $nmbr$,
ldl cholesterol mean,C0444504;C2347634;C2348143
x $nmbr$ $nmbr$ l p $nmbr$ $nmbr$,
^ $nmbr$ $nmbr$,
hdl cholesterol mean,C0444504;C2347634;C2348143
triglycerides mean,C0444504;C2347634;C2348143
ldl cholesterol mmol l,C0023824;C1532563;C0202117
subgroupt,
xi o $nmbr$ p o $nmbr$,C1720296
placebo,C0032042;C1696465;C1706408
sso $nmbr$,
gemfibrozil,C0017245
o $nmbr$ ii,C1710602;C4082587
risk reduction $nmbr$ cl,C1137094;C0596019
$nmbr$ $nmbr$ o $nmbr$ o o $nmbr$,C0483204
p value,C1709380
triglycerides mmol l,C0041004;C1532563
no with event total no,C0439175;C0439810
$nmbr$ $nmbr$ l $nmbr$,C0439394;C1706495;C3642217
age,C0001779
$nmbr$ io $nmbr$,C1046794;C3146236
$nmbr$ yr,C0439234
xi $nmbr$ $nmbr$ p $nmbr$ l,C1720296
$nmbr$ $nmbr$ $nmbr$,
xi $nmbr$ l p $nmbr$ $nmbr$,C1720296
$nmbr$ $nmbr$ to $nmbr$,
x $nmbr$ $nmbr$ p $nmbr$ $nmbr$,
race,C0034510;C1706779;C3853635
xi l $nmbr$ p $nmbr$ $nmbr$,C1720296
white,C0007457;C0043157;C0220938
xi $nmbr$ $nmbr$ p o l,C1720296
nonwhite,
s $nmbr$ $nmbr$,
family history^,C0241889
o $nmbr$ i i,C0021966;C0221138
yes,C1549445;C1705108;C1710701
xi $nmbr$ $nmbr$ p $nmbr$ $nmbr$,C1720296
no,
ssi $nmbr$,
smoking,C0037369;C0453996;C1881674
xi oo p o $nmbr$,C1720296
current,C0521116;C1705970
pioglitazone n $nmbr$,C0071097
former or never diabetes,C0205156;C0750523;C0011847;C0011849
patients characteristics,C0815172
$nmbr$ $nmbr$ $nmbr$ to $nmbr$,
time since diagnosis of diabetes years median iqr,C0556970;C0011847;C0011849
aspirin use,C0042153;C0457083;C1947944
body mass index kg m $nmbr$ mean sd,C0022718;C0439209;C4054209;C0444504;C2699239;C2347634;C2348143
no beta blocker use,C0042153;C0457083;C1947944
blood pressure systolic diastolic mm hg mean sd,C0428886;C2699239
hdl cholesterol,C0023822;C0392885
past smoker,C0337664
$nmbr$ $nmbr$ mg dl,C0439269
microvascular disease,C0443258;C0012634
$nmbr$ $nmbr$ mg dl triglycerides^,C0439269;C0041004
blood glucose lowering treatment,C0005802;C0441994;C2003888;C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
$nmbr$ mg dl,C0439269
metformin only,C0025598
$nmbr$ mg dl ldl cholesterol,C0023824;C0202117
sulphonylureas only,C0038766
stent plus placebo,C0038257;C0032042;C1696465;C1706408
metformin sulphonylureas,C0025598;C0038766
stent plus abciximab,C0038257;C0288672
insulin only,C0021641;C1533581;C1579433;C3714501
p,C0369773;C2603361
insulin metformin,C0021641;C0025598;C1533581;C1579433;C3714501
balloon angioplasty plus abciximab,C0002996;C0002997
insulin sulphonylureas,C0021641;C0038766;C1533581;C1579433;C3714501
pt,C0032743;C0699718
insulin metformin sulphonylureas,C0021641;C0038766;C1533581;C1579433;C3714501
diabetic patients,C0241863;C0030705
other combination,C0205195;C1947911;C3811910
total,C0439175;C0439810
diet only,C0012155;C0012159;C1519433;C2983588;C3668949
death,C0011065;C1306577;C4082313;C4552775
laboratory data,C1511726;C3245479;C3714741
death large mi,C0011065;C3810814;C1306577;C4082313;C4552775
hba $nmbr$ c median iqr,C0019016;C0549183;C0876920;C2347635;C2348144;C2939193;C1825777;C3538758
large mi,C0549177;C3810814
ldl cholesterol mmol l median iqr,C0023824;C0202117
tvr,
$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ s,
non diabetic patients,C1829939;C0241863
hdl cholesterol mmol l median iqr,C0023822;C0392885
characteristics,C1521970
triglycerides mmol l median iqr,C0041004;C1532563
chlorthalidone group,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
creatinine ^mol l median iqr,C0010294;C0347982;C1561535
doxazosin group,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
micral test result,C0456984;C0587081
no of subjects,C0681850;C1550501;C1706203;C2349001;C2697811
negative,C0205160;C1513916;C2825415;C2825491;C3853545
age y,C0001779
about $nmbr$ mg l,C0439268
women,C0043210
about $nmbr$ mg l or more,C0439268
race ethnicity white non hispanic,C1533020;C1533021
enact $nmbr$ trial,C0008976
black non hispanic,C1533017;C1533018
enact $nmbr$ trial rerandomization to natalizumab n $nmbr$,C0008976;C1172734
white hispanic,C1533020;C1533021
natalizumab n $nmbr$ f,C1172734;C0016327
black hispanic,C1533017;C1533018
rerandomization to placebo n $nmbr$ f,C0032042;C0016327;C1696465;C1706408
other races,C0034510;C3669213
$nmbr$ $nmbr$ j,
education y,C0013621;C0013622;C0013658;C0039401
duration of disease mo,C0872146;C0026544;C0332177
blood pressure mm hg,C0005823;C0439475;C1271104;C1272641
intestinal area involved no,C0017446;C0205146;C1314939
treated for hypertension,C1522326;C0020538;C1963138
ileum,C0020885
eligibility risk factors t ascvo,C0035648;C1553898
ileum and colon,C0020885;C0009368;C3888384
st t wave changes,C0392747;C0443172
colon,C0009368;C3888384
type $nmbr$ diabetes,C1320657
data missing or no drug given,C1511726;C3245479;C3714741;C1551393;C1705492;C3272743;C0013227;C1254351
cigarette smoking,C0239059;C0700219
previous segmental resection no,C0205156;C2987624;C1552607
hdl c $nmbr$ mg dl,C3715113;C0439269
cdai score,C0449820;C4050231
lvh from electrocardiogram,C0149721;C0013798;C1547122;C1623258
c reactive protein,C0006560;C1413716;C4048285
lvh from echocardiogram,C0149721;C0013516;C2243117
elevated at wk $nmbr$ no,C0205250;C3163633
serum biochemistry potassium mmol l,C0302353;C1532563;C0543465
week $nmbr$ mg liter,C0024671;C0475211;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
fasting glucose mg dl,C0015663;C0439269
mean,C0444504;C2347634;C2348143
creatinine mg dl,C0010294;C0439269;C1561535
week $nmbr$ mg liter^,C0024671;C0475211;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
cholesterol mg dl,C0008377;C0439269
elevated at wk $nmbr$ no $nmbr$,C0205250;C3163633
ldl c mg dl,C0439269
concomitant medication no,C0013227;C3244316;C4284232
hdl c mg dl,C3715113;C0439269
corticosteroids,C0001617;C3539185;C3540725;C3540726;C3540727
fasting triglycerides mg dl,C0015663;C0041004;C0439269
prednisone,C0032952
tirofiban n $nmbr$,C0247025
budesonide,C0054201
abciximab n $nmbr$,C0288672
immunosuppressants,C0021081
male sex,C0086582
azathioprine,C0004482
weight kg,C0022718;C0439209;C4054209
mercaptopurine,C0000618
smoker,C0337664
methotrexate,C0025677
medical history,C0262926;C1704706
antibiotics,C0003232;C0003237;C3540704;C3540705;C3540706;C3540707;C3540708;C3540709;C3540710
coronary artery bypass grafting,C0010055
$nmbr$ aminosalicylates i i,C0021966;C0221138
percutaneous coronary revascularization,C1532338
$nmbr$ corticosteroids or immunosuppressants,C0001617;C3539185;C3540725;C3540726;C3540727;C0021081
myocardial infarction,C0027051;C0428953;C2926063;C3810814;C4552959
corticosteroids and immunosuppressants,C0001617;C3539185;C3540725;C3540726;C3540727;C0021081
cerebrovascular accident,C0038454
previous receipt of therapy against tnf a no,C0039798;C0087111;C1363945;C1448177;C1710304
primary target vessel,C0205225;C0449618;C0439612;C0439631
refractory to such therapy no,C0205269;C0039798;C0087111;C1363945
current smoker $nmbr$ cigarettes day no,C0332173;C0439228;C0439505
l eft anterior descending coronary artery,C0439394;C0226032;C1706495;C3642217
r ight coronar y artery,C0003842;C0226004
figure $nmbr$ facing page percentage of patients in the enact $nmbr$ trial with a clinical response at each visit panel a in remission at each visit panel b with a response at week $nmbr$ panel c and in remission at week $nmbr$ panel d,C0439165;C1549488;C1561533;C0008976;C1096775;C0441833;C1706365;C1999270;C0544452;C0687702;C0545082;C1512346;C2826704;C0332174;C0441837;C0439230
left circumflex artery,C0226037
a response was defined as a decrease from baseline in the cdai score of at least $nmbr$ points remission was de fined as a decrease in the cdai score to less than $nmbr$ points significant differences between the treatment groups are shown,C0871261;C1704632;C1706817;C2911692;C1704788;C3539106;C0168634;C1442488;C0011198;C0017480;C3541240;C0205232;C0687757;C0449820;C4050231;C0237881;C0750502;C1546944;C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704;C1547282
bypass graft,C0185098
clopidogrel n $nmbr$ $nmbr$,C0070166
restenotic vessel,C0005847
age at entry years,C1510829;C1705654
variable,C0439828;C4553760
time since onset h,C0449244;C0033727;C0369286;C0441932;C0564385;C4528284
no of patients,C0030705
ecg abnormality at entry,C1623258;C1704258
irofiban,
st elevation,C0520886
abciximab,C0288672
bundle branch block,C0006384;C1879286
sex,C0009253;C0036864;C0079399;C0804628;C1314687;C1522384
st depression without st elevation,C0520887
male,C0086582;C1706180;C1706428;C1706429
ii or iii,C0439070;C1705160
female,C0043210;C0086287;C1705497;C1705498
previous disease and drug use,C0205156;C0012634;C1552607;C0242510
clopidogrel given before procedure,C0070166;C0184661;C2700391;C3274430;C3539779
previous hypertension,C0020538;C1963138
location of treatment center,C0450429;C1515974;C4284930;C4284931
aspirin before admission,C0004057;C0184666;C0809949
united states,C0041703
$nmbr$ blocker before admission,C0184666;C0809949
indication for stent,C0392360;C3146298
fibrinolytic agent before randomisation,C0016018;C0034656
acute coronary syndrome $nmbr$,C0948089
non trial treatment during hospital stay,C0019948;C3166479
nct $nmbr$,
non trial antiplatelet,C1518422;C0008976
clinical characteristics,C0683325
fibrinolytic agents before or after entry,C0016018;C1705654
hyperlipidemia,C0020473;C0428465;C4555212
anticoagulant,C0003280;C0848112;C3536711
history of hypertension,C0455527
antiarrhythmic,C0003195;C3537142
histor y of myocardial infarction,C0027051;C0428953;C2926063;C3810814;C4552959
nitrate oral or intravenous,C0442027;C4521986;C0348016
histor y of unstable angina,C0002965
calcium antagonist,C0006684
histor y of stable angina,C0340288
metoprolol n $nmbr$ $nmbr$,C0025859
histor y of heart failure,C0018801;C0018802;C4554158
ai $nmbr$,C0003504;C4551710
congestive heart failure,C0018802
p blocker before admission,C0369773;C0184666;C0809949;C2603361
cardiogenic shock during first $nmbr$ hr after randomization,C0036980;C0205435;C1279901;C0034656
non trial p blocker,C1518422;C0008976
previous intervention,C0184661;C0886296;C1273869
score $nmbr$ $nmbr$,C0449820;C4050231
percutaneous transluminal coronary angioplasty,C2936173
mfns n $nmbr$,
coronar y artery bypass grafting,C0332835;C1527362;C1961139
mean age y range,C1514721;C2348147;C3542016
administration of study drug,C0150270;C0262754;C3469597
gender male,C0086582;C1706180;C1706428;C1706429
bolus,C1186706;C1511237;C1705509;C3812160
mean baseline nasal congestion score,C3533236;C0027424;C4554631
bolus and infusion,C1186706;C1511237;C1705509;C3812160;C0574032;C1827465
eze simva $nmbr$ $nmbr$ mg n $nmbr$,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
infarct territory,C1301808;C2983136
atv $nmbr$ mg n $nmbr$,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
$nmbr$ $nmbr$ f,C0016327
number of females n,C0237753;C0449788
anterior,C0205094
race n,C0034510;C1706779;C3853635
inferior,C0542339;C0678975
body mass index mean sd kg m,C0022718;C0439209;C4054209
