cmd_id,cuis_selected,preferred,har_manual,X2nd_har,X3rd_har,final,final_cui
1,C0206158;C0282403,Premenopause Hormone replacement therapy,Hormone Therapy,,,Hormone Therapy,C0279025
1,C0206158;C0282402,Premenopause Hormone replacement therapy,Premenopause,Menopausal Status,,Menopausal Status,C1513126
2,C0206158;C1518422;C0282403,Premenopause Negation Hormone replacement therapy,Hormone Therapy,,,Hormone Therapy,C0279025
2,C0206158;C1518422;C0282402,Premenopause Negation Hormone replacement therapy,Premenopause,Menopausal Status,,Menopausal Status,C1513126
3,C0232970;C0282402;C1518423,Postmenopausal state Hormone replacement therapy Negation,Hormone Therapy,,,Hormone Therapy,C0279025
3,C0232970;C0282402;C1518422,Postmenopausal state Hormone replacement therapy Negation,Postmenopausal state,Menopausal Status,,Menopausal Status,C1513126
4,C3815594;C0043210;C0439810,Subject is Randomized Woman Total,Gender,,,Gender,C0079399
5,C0232970;C0282402;C0521116,Postmenopausal state Hormone replacement therapy Current (present time),Hormone Therapy,Hormone Therapy,,Hormone Therapy,C0279025
5,C0232970;C0282402;C0521116,Postmenopausal state Hormone replacement therapy Current (present time),Postmenopausal state,Menopausal Status,,Menopausal Status,C1513126
6,C0282402;C0025320,Hormone replacement therapy Menopause,Hormone Therapy,,,Hormone Therapy,C0279025
6,C0282402;C0025320,Hormone replacement therapy Menopause,Menopausal Status,,,Menopausal Status,C1513126
7,C1444637;C2003901;eitheror,In the past Never (frequency) Either one or other,NA TO BE DELETED,,,NA TO BE DELETED,NA
8,C0001948;C0332174,Alcohol consumption Weekly,Alcohol consumption,,,Alcohol consumption,C0001948
9,C0026606;C0332174;C0439259,Physical activity Weekly kilocalorie,Physical activity,,,Physical activity,C0026606
10,C0042874;C0034656;C1514756,Vitamin E Randomization Receive,Vitamin E,,,Vitamin E,C0042874
11,C0053396;C0034656;C1514756,Beta Carotene Randomization Receive,Beta Carotene,,,Beta Carotene,C0053396
12,C0232970;C0279025;C1518423,Postmenopausal state Hormone Therapy Negation,Hormone Therapy,,,Hormone Therapy,C0279025
12,C0232970;C0279025;C1518422,Postmenopausal state Hormone Therapy Negation,Postmenopausal state,Menopausal Status,,Menopausal Status,C1513126
13,C0232970;C1524063;C0279025;C0521117,Postmenopausal state Use of Hormone Therapy Current (present time),Hormone Therapy,,,Hormone Therapy,C0279025
13,C0232970;C1524063;C0279025;C0521116,Postmenopausal state Use of Hormone Therapy Current (present time),Postmenopausal state,Menopausal Status,,Menopausal Status,C1513126
14,C0241889;C0677898,Family history invasive cancer,Family history,,,Family history,C0241889
14,C0241889;C0677898,Family history invasive cancer,invasive cancer,,,invasive cancer,C0677898
15,C1513126;C1524063;C0279025,Menopausal Status Use of Hormone Therapy,Hormone Therapy,,,Hormone Therapy,C0279025
15,C1513126;C1524063;C0279025,Menopausal Status Use of Hormone Therapy,Menopausal Status,,,Menopausal Status,C1513126
16,C0001779;C0439234;C666666666,Age year NA,Age-Years,,,Age-Years,C1510829
17,C0026606;C0439259;C0332174,Physical activity kilocalorie Weekly,Physical activity,,,Physical activity,C0026606
18,C0232970;C0279025,Postmenopausal state Hormone Therapy,Hormone Therapy,,,Hormone Therapy,C0279025
18,C0232970;C0279025,Postmenopausal state Hormone Therapy,Postmenopausal state,Menopausal Status,,Menopausal Status,C1513126
19,C0241889;C0030551;C0027051,Family history parent Myocardial Infarction,Family history,,,Family history,C0241889
19,C0241889;C0030551;C0027051,Family history parent Myocardial Infarction,Myocardial Infarction,,,Myocardial Infarction,C0027051
20,C0301532;C0457083,Multivitamin preparation Usage,Multivitamin preparation,,,Multivitamin preparation,C0301532
21,C0439234;C1277690;10 year risk,year Coronary heart disease risk 10 year risk,Coronary heart disease,,,Coronary heart disease,C0010068
21,C0439234;C1277690;10 year risk,year Coronary heart disease risk 10 year risk,Risk,,,Risk,C0035647
22,C0522498;C2003901,Rare Never (frequency),NA TO BE DELETED,,,NA TO BE DELETED,NA
23,C1444637;C2003901,In the past Never (frequency),NA TO BE DELETED,,,NA TO BE DELETED,NA
24,C1513126;C0279025,Menopausal Status Hormone Therapy,Hormone Therapy,,,Hormone Therapy,C0279025
24,C1513126;C0279025,Menopausal Status Hormone Therapy,Menopausal Status,,,Menopausal Status,C1513126
25,C0004096;C0750546;C0011900,Asthma newly Diagnosis,Asthma,,,Asthma,C0004096
26,C0015259;C4321352,Exercise Frequency,Exercise,Physical activity,,Physical activity,C0026606
27,C0006560;C1441604,C-reactive protein High sensitivity,C-Reactive Protein,,,C-Reactive Protein,NA
28,C0015259;C0558293;C0205172,Exercise Once a week More,Exercise,Physical activity,,Physical activity,C0026606
29,C0025320;C0279025,Menopause Hormone Therapy,Hormone Therapy,,,Hormone Therapy,C0279025
29,C0025320;C0279025,Menopause Hormone Therapy,Menopausal Status,,,Menopausal Status,C1513126
30,C0279025;C0232970,Hormone Therapy Postmenopausal state,Hormone Therapy,,,Hormone Therapy,C0279025
30,C0279025;C0232970,Hormone Therapy Postmenopausal state,Postmenopausal state,Menopausal Status,,Menopausal Status,C1513126
31,C0149931;C0850708,Migraine Disorders History of disease,Medical History,,,Medical History,C0262926
